AffixID,Name,Slot,AffectedStat,MinValue,MaxValue,ScalingPerLevel,RarityWeight,AllowedItemTypes,Tags,Notes
hp_flat,of Vitality,Suffix,MaxHP,10,50,2,120,Armor;Jewelry,Defensive,Flat HP increase
hp_pct,of the Bear,Suffix,MaxHPPercent,3,12,0.2,80,Armor;Jewelry,Defensive,% max HP increase
armor_flat,of Guarding,Suffix,Armor,5,25,1,110,Armor;Shield,Defensive,Flat armor bonus
res_all,of Warding,Suffix,AllResist,3,15,0.3,90,Armor;Jewelry,Defensive;Elemental,All-element resistance boost
str_flat,Brutal,Prefix,STR,2,10,0.3,100,Weapon;Armor,Offensive;Melee,Flat Strength increase
dex_flat,Nimble,Prefix,DEX,2,10,0.3,100,Weapon;Armor,Offensive;Ranged,Flat Dexterity increase
int_flat,Sage's,Prefix,INT,2,10,0.3,100,Weapon;Jewelry,Offensive;Caster,Flat Intelligence increase
wis_flat,Insightful,Prefix,WIS,2,10,0.3,100,Armor;Jewelry,Utility;Caster,Flat Wisdom increase
cha_flat,Charismatic,Prefix,CHA,2,10,0.3,90,Jewelry;Armor,Utility;Caster,Flat Charisma increase
crit_chance,of Precision,Suffix,CritChancePercent,2,8,0.15,70,Weapon;Jewelry,Offensive;Crit,Crit chance increase
crit_damage,of Carnage,Suffix,CritDamagePercent,10,35,0.4,60,Weapon;Jewelry,Offensive;Crit,Critical damage multiplier
lifesteal,of the Leech,Suffix,LifeStealPercent,2,6,0.1,50,Weapon,Offensive;Sustain,Life on hit
movespeed,Fleetfoot,Prefix,MoveSpeedPercent,3,10,0.2,85,Boots;Armor,Utility,Movement speed bonus
mana_regen,of Clarity,Suffix,ManaRegen,1,5,0.15,90,Jewelry;Armor,Caster,Mana regeneration increase
cooldown_reduction,of Reprieve,Suffix,CooldownReductionPercent,4,15,0.25,55,Jewelry;Armor,Caster;Utility,Reduces ability cooldowns
damage_ele_fire,Flaming,Prefix,FireDamageFlat,3,15,0.4,95,Weapon,Offensive;Elemental,Adds fire damage to attacks
damage_ele_cold,Freezing,Prefix,ColdDamageFlat,3,15,0.4,95,Weapon,Offensive;Elemental,Adds cold damage to attacks
damage_ele_lightning,Shocking,Prefix,LightningDamageFlat,3,15,0.4,95,Weapon,Offensive;Elemental,Adds lightning damage to attacks
thorns,of Thorns,Suffix,ThornsDamage,5,30,0.6,75,Armor;Shield,Reactive,Reflects damage back to attackers
xp_bonus,of Learning,Suffix,XPBonusPercent,3,12,0.25,40,Jewelry,Progression,Bonus XP from kills
